change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
way|n.路,路线,路途,习惯,行业,规模,道路,情形adj.中途,途中的adv.远远地,大大地,非常
bamboo|n.竹子
tell|vt.告诉,说,吩咐,断定,知道vi.讲述,泄密,告发,表明,作证n.<方>讲的事,传闻
face|n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向
word|n.字,词,话,消息,诺言,命令vt.为...措辞
live|adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地
told|vbl.tell的过去式和过去分词
god|(goddedgodding)神化,把...崇拜为神上帝
city|n.城市,都市,全体居民,城邦
girl|n.女孩,少女,女仆,(商店等的)女工作人员
wonder|n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的
voice|n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露
master|n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通
came|vbl.come的过去式
heaven|n.天,天空,天堂
night|n.夜,夜晚,黑暗,死亡
knew|vbl.know的过去式
emperor|n.皇帝,君主
world|n.世界,...界,世事,世故,社会adj.世界的
don't|null
seen|vbl.see的过去分词
strange|adj.陌生的,生疏的,前所未知的,奇怪的,奇异的,不惯的
fear|n.恐怖,害怕,担心,敬畏v.害怕,畏惧,为...担心,敬畏(神等)
tiger|n.[动]老虎,虎,凶暴的人
fish|n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找
moment|adj.片刻的,瞬间的,力矩的n.瞬间
fox|n.狐狸,狐皮,狡猾的人vi.奸狡地行动,变酸vt.使变酸,使生黄斑
went|vbl.go的过去式
beautiful|adj.美丽的,很好的
money|n.货币,钱,金钱
body|n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体
right|n.正义,公正,正确,权利,右边,右派adj.正当的,正确的,对的,合适的,恰当的,健康的,健全的,正面的adv.正当地,正确地,一直地,直接地,完全地,彻底地,在右边
king|n.国王,君主,(部落的)首领,纸牌中的Kvt.立...为王vi.做国王,统治
woman|n.女人,妇女,女仆adj.女人的,女性的,妇女的vt.为...配备妇女,使成女人腔
gone|adj.离去的,死去的,深重的,入迷的,用光的vbl.go的过去分词
young|adj.年轻的,年纪小的,没有经验的,尚早的,初期的n.(动物的)崽,仔
still|n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然静止画面,静态图片
duck|n.鸭子,急忙蹲下,闪避,<俚>人,家伙vi.没入水中,闪避vt.猛按...入水,躲避
sure|adj.对....有把握,确信某事,稳当的,可靠的adv.的确,当然
saying|n.话,谚语
food|n.食物,养料
ground|n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅vbl.grind的过去式
let|vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍
men|n.man的复数
carry|n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到
village|n.乡村,村庄adj.村庄的
suddenly|adv.突然地
almost|adv.几乎,差不多
talk|v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话
feather|n.翎毛,轻的东西,羽毛vi.长羽毛vt.用羽毛装饰,射掉(飞禽)的羽毛
death|n.死,死亡,致死的原因,毁灭,屠杀
feet|n.脚,(foot的复数),英尺,韵脚
tablet|n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块
stone|n.石,石头,宝石
really|adv.真正地,实在地,(表语气)真的吗?
eat|v.吃,腐蚀
much|adj.许多的,大量的adv.非常,很,...多,更加,非常,得多,多达,多得多n.许多,大量num.许多
another|adj.另外的,又一,不同的prep.另一个,另一个人,同类的东西
surely|adv.的确地,安全地
reply|n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答
sight|n.视力,视觉,见,瞥见,视域,眼界
gave|vbl.give的过去式
gate|n.大门
speak|v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)
happy|adj.快乐的,幸福的,陶醉于...的,恰当的
kind|n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的
better|adj.较好的adv.更好的,更多的,更佳的
fell|vbl.fall的过去式vt.击倒,打倒(疾病等),致于...死地,砍伐n.一季所伐的木材,兽皮,羊毛adj.凶猛的,可怕的
fellow|n.人,家伙,伙伴,学会特别会员,朋友,同事adj.同伴的,同事的,同道的
side|n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边
electronic|adj.电子的
longer|null
front|n.前面,开头,前线,(政治上的)阵线,态度,外表vt.面对,朝向,对付vi.朝向
question|n.问题,疑问,询问v.询问,审问,怀疑
save|vt.解救,保存,保全,保留,节省,储蓄vi.挽救,节省,救球prep.除...之外n.救球
sleep|vi.睡,睡觉n.睡眠
remember|vt.回忆起,铭记,纪念vi.记得
die|vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模
outside|n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界prep.在...外
listen|vi.听,听从v.听,收听
bell|n.铃,钟
foundation|n.基础,根本,建立,创立,地基,基金,基金会
far|adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方
trouble|n.烦恼,麻烦,动乱,纠纷,疾病,故障,问题vt.(使)烦恼,麻烦,打扰,麻烦自己,费神,费心
judge|n.法官,审判员,裁判员,鉴赏家,鉴定人,(J-)最高的审判者vt.审理,鉴定,判断,判决,断定,认为vi.下判断,作评价
took|vbl.take的过去式v.拿,拿走,取,抓,占领,获得,接受,感受
cat|n.猫
door|n.门,通道,家,户
ask|vi.询问,问,要求vt.问,要求,需要,邀请
might|v.(pasttense,pastparticipleofmayseemay)n.力量,威力,权力,能,可能aux.可以
surprise|n.惊奇,诧异,惊人之事,奇袭vt.使惊奇,奇袭adj.令人惊讶的
magic|n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的
done|adj.妥当的,合乎礼仪的,完成了,做好了的,注定要完蛋的vbl.做(do的过去分词)
chance|n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的
indeed|adv.真正地,(加强语气)确实,(表示让步)当然,甚至,真的吗?
animal|n.动物
herself|pron.她自己,她本人亲自
lay|vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的vbl.lie的过去式
kill|v.杀死,毁掉,杀伤
cast|n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)
golden|adj.金色的,金黄色的,贵重的,极好的,黄金的
afraid|adj.害怕,担心
sorry|adj.遗憾的,对不起的,可怜的,抱歉的
put|vt.放,摆,安置,表达,迫使,移动,提出,赋予vi.出发,航行,发芽,击n.掷,投击,笨蛋,怪人vbl.put的过去式和过去分词adj.固定不动的
yet|adv.仍,至今,益发,更conj.然而,但是
wonderful|adj.令人惊奇的,奇妙的,极好的,令人愉快的
dream|v.做梦,梦见,梦想,想到n.梦,梦想
near|adj.亲近的,亲密的,近,(车,马等)左侧的,吝啬的adv.(时间,空间方面)近,不远prep.在...近旁,近...v.接近,走近
dragon|n.龙,凶暴的人,严厉而有警觉性的女人
something|pron.某事,某物adj.有点象,大约
walk|vi.步,行,走n.步行,散步,步,行道
burn|v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤
brought|vbl.带来,使得
reach|n.延伸,区域,河段,范围,(车子前后轴的)联接杆,横风行驶vt.到达,达到,伸出,影响vi.达到,延伸,伸出手,传开
wall|n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙
rest|n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在
among|prep.在...之中,...之一
whole|n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个
dead|adj.死的,无感觉的,呆板的,不流动的,(语言、习惯)废弃了的,熄灭的n.死者adv.完全地,绝对的,突然的
lost|adj.失去的,丧失的,错过的,迷惑的,不为人知的vbl.lose的过去式和过去分词
fire|n.火,炉火,火灾,失火,闪光,炮火,热情,激情vt.点燃,烧制,使发光,给(炉子等)加燃料,放枪,激动,<口>解雇vi.开枪,射击,着火,烧火,激动
whom|pron.谁
grew|vbl.grow的过去式
agreement|n.同意,一致,协定,协议
gold|n.黄金,金币adj.金的,金制的
air|n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示
hard|adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地
forth|adv.往前,向外
often|adv.常常,经常
bird|n.鸟,<俚>人vi.在野外观察或鉴别鸟类
family|n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的
huge|adj.巨大的,极大的,无限的
perhaps|adv.或许,多半
women|女人
feel|vt.摸,触,试探,感觉,觉得,触摸,以为vi.有知觉,(人)有某种感觉,摸索,同情n.感觉,觉得,触摸
became|vbl.变得
anything|pron.任何事
pain|n.痛苦,疼,痛,劳苦,努力vt.使痛苦
guest|n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿
garden|n.(菜、花)园,花园
next|n.adj.下次的,其次的,与...连接,下一个adv.下一次,其次
palace|n.宫,宫殿
sound|n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探
leave|n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身
floor|n.(房间,走廊等的)地面,地板,基底,(室内的)场地,层,海底,议员席vt.在...上铺(地板),击倒,(被困难)难倒
land|n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于
joy|n.欢乐,喜悦,快乐,乐事,乐趣v.高兴
remain|vi.保持,逗留,剩余,残存
everything|pron.每件事物,万事
against|prep.相反,反对,逆着,靠着,倚着
beg|v.请求,乞求
china|陶瓷,瓷器,瓷料
believe|v.有坚定的宗教信仰的,相信,信任,认为,想
alone|adj.单独的,独一无二的,孤独的,独自的adv.独自地
Chinese|adj.中国的,中国人的,中国话的,汉语的n.中国人,中国话,汉语,中文
iron|n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服
care|n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意
goddess|n.女神
morning|n.早晨,上午
tear|n.破处,破缝,泪滴,眼泪,扯,飞奔,激怒vi.流泪,撕破,猛冲,飞奔,被撕破vt.扯,撕,撕破,戳破,拉掉,折磨,使分裂,撕掉
grandfather|n.祖父,始祖
sooner|[美](在政府开放西部前)抢先取得占有权的人,用不正当手段先下手的人
small|adj.小的,少的
thank|vt.感谢,用于表示强制的要求,用将来时
tiny|adj.很少的,微小的
wife|n.妻子
power|n.能力,力量,动力,权力,[数]幂,[物]功率vt.使...有力量,供以动力,激励
country|n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的
grow|vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育
river|n.河,江
dear|adj.昂贵的,亲爱的int.[表示惊讶,怜悯等],Oh,～!
agree|vi.同意,赞成...的意见,与...一致,承认,适合vt.同意
public|n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的
along|adv.往前,向前prep.顺着,沿着
ear|n.耳朵,倾听,听觉,听力,穗vi.抽穗
mad|adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒
western|adj.西的,西方的,来自西方的人,有西方特征的
black|n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑
box|n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击
though|adv.虽然,可是conj.虽然,尽管
watch|n.注视,注意,手表,看守,守护,监视,值班人vt.看,注视,照顾,监视,警戒,守护,看守vi.观看,注视,守侯adj.手表的,挂表的
eye|n.眼睛,视力,眼光,观点,见解,眼状物,风吹来的方向,[气]风眼vt.看,注视,在...上打眼
dress|n.女服,童装,服装,衣服v.(给...)穿衣
mouth|n.口,嘴
high|n.高度,高处adj.高的,高原的,高等的,高音的,傲慢的,高尚的,昂贵的,严重的adv.高度地,奢侈地,高价地
towards|prep.向,朝,对面,接近,对,有助于
copyright|n.版权,著作权
wild|adj.野性的,野生的,野蛮的,狂热的,疯狂的
shout|v.呼喊,呼叫n.呼喊,呼叫
seem|vi.象是,似乎
feeling|n.触觉,知觉,感觉,情绪,同情adj.富于感情的,富于同情心的,衷心的,有同情心的,有感觉的,仁慈的
light|n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮
ruler|n.统治者,管理者,尺,直尺n.标尺,划线板,划线的人
hungry|adj.饥饿的,渴望的,荒年的,不毛的
smile|vi.(～at)微笑n.微笑
despair|n.绝望,失望,令人失望的人(事物)vi.绝望
journey|n.旅行,旅程v.旅行
several|adj.几个,个别的,单独的pron.几个
parent|n.双亲,父亲(或母亲)
living|n.生活,生计,生存空间,居住面积adj.活的,起作用的,逼真的,现存的
wood|n.木头,木材,树木
forward|adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋
law|n.法律,诉讼,法学,法治,司法界,规律v.对...起诉,控告abbr.[军]LightAnti-TankWeapon,轻型反坦克武器
reason|n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考
send|vt.送,寄,发送,派遣,打发
spring|n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发
catch|n.捕捉,捕获物,(窗)钩v.捕获,赶上(车船等),发觉,感染（疾病）vi.抓住，燃着
yourself|pron.你自己
rush|n.匆促,冲进,急流,灯芯草vi.冲,奔,闯,赶紧,涌现vt.使冲,匆忙地做,突袭,飞跃,用灯芯草做adj.急需的
else|adj.别的,其他的adv.另外,其他
blood|n.血,血液,血统v.使(某人)先取得经验
obey|v.服从,顺从
ha|int.嘿!,哈!
forget|vt.忘记,忽略vi.忘记,忘形,忘乎所以
thing|n.东西,物,所有物,用品,事,事情,事件,事态
hundred|n.一百个(人或物)一组,许多num.百,百个adj.许多的
fair|adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴
continue|v.继续,连续,延伸
fast|adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒
hope|n.希望,信心v.希望,盼望,期待,信赖
together|adv.共同,一起,合起来,集拢地
street|n.街,街道
thinking|n.思想
finger|n.手指(尤指大拇指以外的手指),指状物,指针v.用手指拨弄,伸出
hearing|n.听力,听觉,听取意见,听讼v.倾听
boil|n.沸点,沸腾,疖子v.煮沸,激动
big|adj.大的,重要的,量大的,重要的adv.夸大地,顺利
bad|adj.劣质的,有害的,坏的,不利的,不健康的,严重的
got|vbl.get的过去式
sing|v.唱,演唱
earth|n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内
nearer|null
foot|n.足,底部,英尺,音步(英诗),步调,步兵,末尾vt.走在...上,支付,给...换底,结算vi.步行,跳舞,总计
enjoy|vt.享受...的乐趣,欣赏,喜爱v.满意
distant|adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的
basket|n.篮,一篮
official|n.官员,公务员adj.职务上的,公务的,官方的,正式的
heavy|adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色
fall|n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的
rich|adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的
hold|n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留
silver|n.银,银子vt.镀银
dark|n.黑暗,夜,黄昏,暗色,无知,模糊adj.黑暗的,暗的,(头发、皮肤等)黑色的,隐秘的,无知的,隐晦的,模糊的
neighbour|n.邻居(美作：neighbor)
although|conj.虽然,尽管
sir|n.先生,阁下
wind|n.风v.绕,缠,上发条,旋紧
wise|adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式
pay|n.薪水,工资v.支付,交纳,给予,有利,值得,合算
itself|pron.它本身,它自己
plan|n.计划,设计图,平面图vt.计划,设计
best|adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西
deep|adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处
deck|n.甲板,舰板,覆盖物,一副(纸牌)vt.装饰,修饰,打扮,装甲板
beat|n.敲打,拍子,巡逻区域v.打,打败
husband|n.丈夫
climb|v.攀登,爬n.攀登,爬
half|n.一半,半时,(球赛)半场,半学年adj.一半的,不完全的,半途的adv.一半地,部分地,相当的
arm|n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来
famous|adj.著名的,出名的,<口>极好的,令人满意的
happiness|n.幸福,快乐
notice|n.通知,布告,注意v.注意到
low|n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫
around|adv.周围,四周,到处,大约,左右prep.在...周围,四处
asleep|adj.睡着的,睡熟的
flower|n.花,开花的植物,花卉,精华,盛时vi.开花,旺盛,成熟vt.用花装饰,使开花
tired|adj.疲劳的,累的,疲倦的
wooden|adj.木制的
road|n.路,道路,公路,大道
held|vbl.hold的过去式和过去分词
clothes|n.衣服,[总称]被褥,各种衣服,<美俚>家丑
corner|n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)
toward|prep.向,对于,为了adj.有希望的,有利的,逼近的,温顺的
noise|n.喧闹声,噪声,噪音
later|adj.更迟的,更后的adv.稍后,随后
quick|adj.快的,迅速的,敏捷的,急剧的,活泼的adv.快n.活人，生物,要点,本质,核心,感觉敏锐的部位
handsome|adj.英俊的,大方的,慷慨的,美观的,堂皇的
prepare|v.准备,预备,有能力而且愿意
luck|n.运气,好运,幸运
empty|adj.空的,空洞的,空虚的vt.使成为空的,倒空v.倒空adj.空的,空闲的v.腾空,腾出来
chair|n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职
beggar|n.乞丐
neck|n.脖子,颈,颈壮物
standing|adj.直立的,停滞的,固定的,常备的,标准的,常设的n.站立,身分,名望,持续v.站
army|n.陆军,军队,大群,大军
hair|n.头发,毛发,毛状物,绒毛,些微
angry|adj.生气的,愤怒的,狂暴的(风雨等)
fortune|n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富
large|adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大
http|null
strong|adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的
sell|v.出售,卖
led|vbl.lead的过去式和过去分词abbr.[军]LowEmittingDiode,发光二极管
cold|n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的
lazy|adj.懒惰的,懒散的
dare|n.挑战vi.敢,胆敢vt.敢冒,不惧
drop|v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌
business|n.商业,买卖,交易,生意,事情,事物,营业,商行
completely|adv.十分,完全地
truth|n.事实,确实,真理,原理
early|adj.早的,早熟的,及早的,早先的,早期的adv.早,在初期
broken|adj.坏掉的,患病的,被制服的,断掉的vbl.break的过去分词
brother|n.兄弟
visit|n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈
usual|adj.平常的,通常的,惯例的
sky|n.天,天空
gather|n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断
doubt|n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕
creature|n.人,动物,傀儡,创造物
past|n.过去,往时adj.过去的,结束的prep.越过,晚于vbl.pass的过去分词
whose|pron.谁的,那(些)人的
friendly|adj.友好的,友谊的
hurry|v.(使)赶紧,(使)匆忙,加速n.匆忙,仓促
image|n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征
bear|n.熊v.负担,忍受,带给,具有,挤,向
loud|adj.高声的,不断的,喧吵的adv.高声地,大声地
hardly|adv.刚刚,几乎不,仅,严厉的,艰辛的
hall|n.会堂,礼堂,大厅,走廊,门厅
repeat|n.重复,反复vt.重做,复述,向他人转述,复制,使再现vi.重复,留有味道
point|n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明
lock|n.锁v.锁,锁上,锁住
doctor|n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医
rise|n.上升,增加,上涨,高地,小山,发生,出现vi.升起,起身,发源,起义,高耸,增长,上升,复活vt.使飞起
fly|n.苍蝇,两翼昆虫,飞行vi.飞翔,飘扬,溃逃vt.飞越,使飘扬,逃脱adj.机敏的,敏捷的
member|n.成员,会员,议员,(人或动,植物的)一部分,[语]子句,成分,[逻]推论的命题
lives|n.life的复数
building|n.建筑物,营造物(如房屋,大楼,工厂,船等)
lovely|adj.可爱的,有趣的
cook|n.厨师v.烹调,煮,伪造
tree|n.树,木料,树状物vt.赶上树n.[计]显示驱动器的子目录结构vi.爬上树,逃上树
sometimes|adv.不时,有时
fever|n.发烧,发热,热病,狂热,高度兴奋v.(使)发烧,(使)患热病,(使)狂热
ten|num.十,十个
myself|pron.我自己,我亲自,我本人
round|n.圆,圆形物,巡回,轮唱,[体]一轮adj.圆的,球形的,丰满的,大概的,十足的,完全的,率直的,肥胖的prep.围着,附近,绕过,在...周围vt.弄圆,使成圆形,绕行,完成,围捕,四舍五入vi.变圆,发胖,环行,拐弯,进展adv.围绕着,循环地,在周围,迂回地,朝反方向,挨个
mind|n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意
sun|n.太阳,阳光,恒星vt.晒n.(Sun)星期天(Sunday)美国Sun公司，主要生产SUN系列工作站和网络产品,是JAVA语言的创始者
darkness|n.黑暗,漆黑
presently|adv.目前,不久
stood|vbl.stand的过去式和过去分词
green|n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的
future|n.未来,将来,前途,远景adj.未来的,将来的
lever|n.杆,杠杆,控制杆v.抬起
red|n.红色,红衣服,红颜料,赤字,亏空adj.红(色)的,革命的
hill|n.小山,丘陵,斜坡,山岗
human|n.人,人类adj.人的,人类的,人性的,有同情心的
editor|n.编辑,编辑器,编者
already|adv.已经
bronze|n.青铜(铜与锡合金),铜像adj.青铜色的
age|n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟
moon|n.月球,月亮,卫星
ran|vbl.run的过去式
star|n.星,恒星,明星,名角
travel|v.旅行,传播vi.行进,传播n.旅行
license|n.许可(证),执照vt.许可,特许v.许可
mere|adj.仅仅的,起码的,纯粹的
behind|adv.在后地prep.在...之后
soft|adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件
bright|adj.明亮的,辉煌的,欢快的,聪明的,伶俐的
pocket|n.衣袋,口袋,钱,财vt.装...在口袋里,隐藏(感情),据为己有,击...入袋adj.袖珍的,小型的
understand|v.懂,了解,听说,推定,以为,省略
bush|n.矮树丛,(机械)衬套
odd|adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的
clear|adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得
sea|n.海洋,大浪,大量,许多
idea|n.想法,念头,意见,主意,思想,观念,概念
rose|n.蔷薇属,玫瑰,玫瑰红vbl.rise的过去式
condition|n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况
lamp|n.灯vt.照亮
heap|n.堆,大量,许多vt.堆,堆起v.堆积
further|adj.更远的,更多的,深一层的vt.促进,增进,助长adv.更进一步地,更远地,此外
sense|n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识
imagine|vt.想象,设想
breath|n.呼吸,气息,气味,空气,微风,暂停,瞬间
fee|n.费(会费、学费等),酬金
dust|n.灰尘,尘土,尘埃vt.掸掉...上的灰尘,撒糖于糕上
travelling|vbl.旅行
nature|n.自然,自然界,大自然,自然状态,本性,天性,种类
eight|adj.八的num.八,八个,第八n.八字形
glass|n.玻璃,玻璃制品,玻璃杯,镜子,眼镜,望远镜,气压计,晴雨表vt.装玻璃于,反映vi.成玻璃状
explain|v.解释,说明
instance|n.实例,建议,要求,情况,场合vt.举...为例,获得例证
trace|n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走
push|n.推,推动,奋发,干劲,进取心,攻击vt.推,推动,推行,逼迫,增加vi.推,推进,增加,努力争取
thick|adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份
shoulder|n.肩,肩部,侧翼vt.肩负,承当
clearly|adv.明朗地,明显地,无疑地
absolutely|adv.完全地,绝对地
simply|adv.简单地,完全,简直,仅仅,只不过,朴素地,只是
grey|adj.灰色的,灰白的n.灰色
exactly|adv.正确地,严密地
dance|n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬
wrong|adj.错误的,不正当的,道德不好的,失常的adv.错误地n.坏事,错误,不公正
fruit|n.水果,果实,果类,成果vi.结果实
quite|adv.相当,完全,十分,彻底
present|n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准
stare|v.(～at)凝视,盯着看
mass|n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集
caught|vbl.catch的过去式和过去分词
race|n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转
discover|vt.发现,发觉v.发现
comfort|n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和
creep|vi.爬,蹑手蹑脚,蔓延
seat|n.座,座位,所在地,场所,席位vt.使坐下
increase|n.增加,增大,增长vt.增加,加大vi.增加,繁殖
met|vbl.meet的过去式和过去分词
colour|n.<英>(color)颜色,气色,风格,外貌vt.把...涂颜色,粉饰,脸红,歪曲vi.变色
dinner|n.正餐,宴会
ghost|n.鬼,幽灵
necessity|n.必要性,需要,必需品
theory|n.理论,学说,...论,原理,意见,推测
blue|n.蓝色adj.蓝色的,忧郁的,沮丧的
